idlezione	idfoglio	idsettimana
L0000861	F0000	W0000
L0000862	F0000	W0000
L0000863	F0000	W0000
L0000864	F0000	W0000
L0000865	F0000	W0000
L0000866	F0000	W0000
L0000867	F0000	W0000
L0000868	F0000	W0000
L0000869	F0000	W0000
L0000870	F0000	W0000
L0000871	F0000	W0000
L0000872	F0000	W0000
L0000873	F0000	W0000
L0000874	F0000	W0000
L0000875	F0000	W0000
L0000876	F0000	W0000
L0000877	F0000	W0000
L0000878	F0000	W0000
L0000879	F0000	W0000
L0000880	F0000	W0000
L0000881	F0000	W0000
L0000882	F0000	W0000
L0000883	F0000	W0000
L0000884	F0000	W0000
L0000885	F0000	W0000
L0000886	F0000	W0000
L0000887	F0000	W0000
L0000888	F0000	W0000
L0000889	F0000	W0000
L0000890	F0000	W0000
L0000891	F0000	W0000
L0000892	F0000	W0000
L0000893	F0000	W0000
L0000894	F0000	W0000
L0000895	F0000	W0000
L0000896	F0000	W0000
L0000897	F0000	W0000
L0000898	F0000	W0000
L0000899	F0000	W0000
L0000900	F0000	W0000
L0000901	F0000	W0000
L0000902	F0000	W0000
L0000903	F0000	W0000
L0000904	F0000	W0000
L0000905	F0000	W0000
L0000906	F0000	W0000
L0000907	F0000	W0000
L0000908	F0000	W0000
L0000909	F0000	W0000
L0000910	F0000	W0000
L0000911	F0000	W0000
L0000912	F0000	W0000
L0000913	F0000	W0000
L0000914	F0000	W0000
L0000915	F0000	W0000
L0000916	F0000	W0000
L0000917	F0000	W0000
L0000918	F0000	W0000
L0000919	F0000	W0000
L0000920	F0000	W0000
L0000921	F0000	W0000
L0000922	F0000	W0000
L0000923	F0000	W0000
L0000924	F0000	W0000
L0000925	F0000	W0000
L0000926	F0000	W0000
L0000927	F0000	W0000
L0000928	F0000	W0000
L0000929	F0000	W0000
L0000930	F0000	W0000
L0000931	F0000	W0000
L0000932	F0000	W0000
L0000933	F0000	W0000
L0000934	F0000	W0000
L0000935	F0000	W0000
L0000936	F0000	W0000
L0000937	F0000	W0000
L0000938	F0000	W0000
L0000939	F0000	W0000
L0000940	F0000	W0000
L0000941	F0000	W0000
L0000942	F0000	W0000
L0000943	F0000	W0000
L0000944	F0000	W0000
L0000945	F0000	W0000
L0000946	F0000	W0000
L0000947	F0000	W0000
L0000948	F0000	W0000
L0000949	F0000	W0000
L0000950	F0000	W0000
L0000951	F0000	W0000
L0000952	F0000	W0000
L0000953	F0000	W0000
L0000954	F0000	W0000
L0000955	F0000	W0000
L0000956	F0000	W0000
