idlezione	idfoglio	idsettimana
L0002136	F0000	W0000
L0002137	F0000	W0000
L0002138	F0000	W0000
L0002139	F0000	W0000
L0002140	F0000	W0000
L0002141	F0000	W0000
L0002142	F0000	W0000
L0002143	F0000	W0000
L0002144	F0000	W0000
L0002145	F0000	W0000
L0002146	F0000	W0000
L0002147	F0000	W0000
L0002148	F0000	W0000
L0002149	F0000	W0000
L0002150	F0000	W0000
L0002151	F0000	W0000
L0002152	F0000	W0000
L0002153	F0000	W0000
L0002154	F0000	W0000
L0002155	F0000	W0000
L0002156	F0000	W0000
L0002157	F0000	W0000
L0002158	F0000	W0000
L0002159	F0000	W0000
L0002160	F0000	W0000
L0002161	F0000	W0000
L0002162	F0000	W0000
L0002163	F0000	W0000
L0002164	F0000	W0000
L0002165	F0000	W0000
L0002166	F0000	W0000
L0002167	F0000	W0000
L0002168	F0000	W0000
L0002169	F0000	W0000
L0002170	F0000	W0000
L0002171	F0000	W0000
L0002172	F0000	W0000
L0002173	F0000	W0000
L0002174	F0000	W0000
L0002175	F0000	W0000
L0002176	F0000	W0000
L0002177	F0000	W0000
L0002178	F0000	W0000
L0002179	F0000	W0000
L0002180	F0000	W0000
L0002181	F0000	W0000
L0002182	F0000	W0000
L0002183	F0000	W0000
L0002184	F0000	W0000
L0002185	F0000	W0000
L0002186	F0000	W0000
L0002187	F0000	W0000
